source,table,quantity,beam_type,chamber_geometry,ionization_chamber,TPR20_10,kQ,unit
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A1SL,0.82,0.9586,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.56,1.0004,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.59,0.9991,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.62,0.9974,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.65,0.9951,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.68,0.9919,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.7,0.9891,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.72,0.9857,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.74,0.9816,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.76,0.9765,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.78,0.9702,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.8,0.9626,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A26,0.82,0.9533,dimensionless
"IAEA TRS-398 (Rev. 1, 2024)",Table 16,kQ,high energy photon,cylindrical ionization chamber,Exradin A28,0.56,1.0004,dimensionless
